iter	Passed	Remaining
0	120	24020
1	134	13310
2	140	9221
3	146	7169
4	152	5958
5	158	5123
6	164	4535
7	170	4090
8	177	3758
9	182	3472
10	189	3249
11	195	3061
12	201	2903
13	209	2777
14	215	2656
15	222	2559
16	229	2468
17	235	2383
18	242	2305
19	247	2230
20	254	2171
21	260	2107
22	266	2054
23	273	2007
24	280	1964
25	286	1918
26	292	1872
27	298	1830
28	303	1789
29	309	1752
30	315	1717
31	321	1687
32	326	1653
33	332	1625
34	338	1597
35	345	1571
36	350	1545
37	356	1518
38	362	1494
39	367	1470
40	374	1450
41	379	1429
42	385	1408
43	391	1388
44	402	1386
45	409	1370
46	415	1352
47	427	1352
48	433	1335
49	439	1318
50	446	1303
51	452	1287
52	459	1274
53	467	1263
54	474	1252
55	482	1241
56	489	1228
57	496	1215
58	502	1201
59	509	1189
60	516	1177
61	523	1164
62	529	1150
63	535	1137
64	541	1124
65	548	1113
66	554	1101
67	561	1090
68	567	1078
69	573	1064
70	579	1052
71	585	1040
72	590	1027
73	596	1015
74	601	1002
75	606	990
76	612	977
77	617	965
78	624	955
79	635	953
80	641	942
81	647	932
82	651	919
83	657	908
84	664	899
85	671	890
86	679	881
87	685	872
88	691	862
89	697	852
90	703	842
91	709	833
92	715	823
93	722	814
94	728	805
95	735	796
96	740	786
97	747	777
98	753	768
99	759	759
100	765	750
101	771	741
102	777	732
103	784	724
104	790	715
105	798	708
106	804	699
107	810	690
108	817	682
109	823	673
110	829	665
111	836	657
112	842	648
113	848	640
114	854	631
115	860	623
116	867	615
117	873	606
118	879	598
119	885	590
120	891	582
121	897	573
122	902	564
123	909	557
124	915	549
125	921	540
126	926	532
127	932	524
128	938	516
129	944	508
130	951	500
131	957	493
132	963	485
133	968	477
134	974	469
135	980	461
136	986	453
137	992	445
138	998	437
139	1004	430
140	1009	422
141	1015	414
142	1021	407
143	1027	399
144	1033	392
145	1039	384
146	1045	377
147	1051	369
148	1057	361
149	1063	354
150	1069	346
151	1075	339
152	1081	332
153	1087	324
154	1093	317
155	1099	310
156	1105	302
157	1112	295
158	1119	288
159	1126	281
160	1132	274
161	1138	266
162	1143	259
163	1150	252
164	1156	245
165	1162	238
166	1168	230
167	1175	223
168	1181	216
169	1187	209
170	1193	202
171	1199	195
172	1206	188
173	1212	181
174	1218	174
175	1224	167
176	1230	159
177	1236	152
178	1241	145
179	1247	138
180	1253	131
181	1259	124
182	1265	117
183	1272	110
184	1278	103
185	1284	96
186	1292	89
187	1298	82
188	1303	75
189	1309	68
190	1315	61
191	1321	55
192	1327	48
193	1334	41
194	1340	34
195	1347	27
196	1353	20
197	1359	13
198	1365	6
199	1372	0
